fid,FUNCION_PRINCIPAL,SUBCATEGORIA,ESTABLECIMIENTO,FUNCION_SECUNDARIA,PROGRAMACION,SUCURSAL,SALA,CALLE,ALTURA,BARRIO,COMUNA,DIRECCION,LONGITUD,LATITUD,TELEFONO,MAIL,WEB,,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_CULTURA,OTRAS_REDES,CANTIDAD_SALAS,CAPACIDAD_TOTAL,TAG
2283,MONUMENTOS Y LUGARES HISTORICOS,,CAPILLA DE SAN ROQUE,,,,,DEFENSA,601,MONSERRAT,COMUNA 1,"DEFENSA 601, CABA",-58.37178,-34.61496,,,,,,,,,,,,,,0,
2284,MONUMENTOS Y LUGARES HISTORICOS,,CAPILLA DEL CEMENTERIO BRITANICO,,,,,14 DE JULIO,294,CHACARITA,COMUNA 15,"14 DE JULIO 294, CABA",-58.46556,-34.59028,,,,,,,,,,,,,,0,
2285,MONUMENTOS Y LUGARES HISTORICOS,,CARLOS PELLEGRINI,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2286,MONUMENTOS Y LUGARES HISTORICOS,,CASA CARABASSA,,,,,LAFINUR,3000,PALERMO,COMUNA 14,"LAFINUR 3000, CABA",-58.41458,-34.5806,,,,,,,,,,,,,,0,
2287,MONUMENTOS Y LUGARES HISTORICOS,,CASA DE CARLOS GARDEL,,,,,JAURES. JEAN,671,BALVANERA,COMUNA 3,"JEAN JAURES 671, CABA",-58.40795,-34.60163,,,,,,,,,,,,,,0,
2288,MONUMENTOS Y LUGARES HISTORICOS,,CASA DE ESTUDIOS PARA ARTISTAS,,,,,PARAGUAY,898,RETIRO,COMUNA 1,"PARAGUAY 898, CABA",-58.37972,-34.59778,,,,,,,,,,,,,,0,
2289,MONUMENTOS Y LUGARES HISTORICOS,,CASA DE GOBIERNO (CASA ROSADA),,,,,RIVADAVIA AV.,299,MONSERRAT,COMUNA 1,"RIVADAVIA AV. 299, CABA",-58.37084,-34.60828,,,,,,,,,,,,,,0,
2290,MONUMENTOS Y LUGARES HISTORICOS,,CASA DE LA MONEDA,,,,,DEFENSA,620,MONSERRAT,COMUNA 1,"DEFENSA 620, CABA",-58.37175,-34.61514,,,,,,,,,,,,,,0,
2291,MONUMENTOS Y LUGARES HISTORICOS,,CASA DE LAS ACADEMIAS NACIONALES,,,,,ALVEAR,1779,RECOLETA,COMUNA 2,"ALVEAR 1779, CABA",-58.38778,-34.58857,,,,,,,,,,,,,,0,
2292,MONUMENTOS Y LUGARES HISTORICOS,,CASA DE LINIERS,,,,,BELGRANO AV.,473,MONSERRAT,COMUNA 1,"BELGRANO AV. 473, CABA",-58.37283,-34.61368,,,,,,,,,,,,,,0,
2293,MONUMENTOS Y LUGARES HISTORICOS,,CASA DE MANSILLA,,,,,DOCTOR JUAN ANGEL GOLFARINI,2371,BELGRANO,COMUNA 13,"DOCTOR JUAN ANGEL GOLFARINI. 2371, CABA",-58.45361,-34.55639,,,,,,,,,,,,,,0,
2294,MONUMENTOS Y LUGARES HISTORICOS,,CASA DE MARIA JOSEFA EZCURRA DE EZCURRA,,,,,ALSINA. ADOLFO,457,MONSERRAT,COMUNA 1,"ALSINA. ADOLFO 457, CABA",-58.37283,-34.61018,,,,,,,,,,,,,,0,
2295,MONUMENTOS Y LUGARES HISTORICOS,,CASA DEL CMTE.TOMAS ESPORA,,,,,CASEROS AV.,2513,PARQUE PATRICIOS,COMUNA 4,"CASEROS AV. 2513, CABA",-58.39772,-34.63572,,,,,,,,,,,,,,0,
2296,MONUMENTOS Y LUGARES HISTORICOS,,CASA DEL DR. BALDOMERO FERNANDEZ MORENO,,,,,BILBAO. FRANCISCO,2384,FLORES,COMUNA 7,"BILBAO. FRANCISCO 2384, CABA",-58.459952,-34.634991,,,,,,,,,,,,,,0,
2297,MONUMENTOS Y LUGARES HISTORICOS,,CASA DEL DR. BERNARDO ALBERTO HOUSSAY,,,,,VIAMONTE,2800,BALVANERA,COMUNA 3,"VIAMONTE 2800, CABA",-58.40551,-34.60082,,,,,,,,,,,,,,0,
2298,MONUMENTOS Y LUGARES HISTORICOS,,CASA DEL GRAL. MIGUEL DE AZCUENAGA,,,,,RIVADAVIA AV.,407,SAN NICOLAS,COMUNA 1,"RIVADAVIA AV. 407, CABA",-58.37235,-34.60792,,,,,,,,,,,,,,0,
2299,MONUMENTOS Y LUGARES HISTORICOS,,CASA DEL TEATRO,,,,,SANTA FE AV.,1231,RETIRO,COMUNA 1,"SANTA FE AV. 1231, CABA",-58.38479,-34.59559,,,,,,,,,,,,,,0,
2300,MONUMENTOS Y LUGARES HISTORICOS,,CASA MARCO DEL PONT,,,,,ARTIGAS. JOSE GERVASIO. GRAL.,202,FLORES,COMUNA 7,"ARTIGAS. JOSE GERVASIO. GRAL. 202, CABA",-58.46493,-34.62742,,,,,,,,,,,,,,0,
2301,MONUMENTOS Y LUGARES HISTORICOS,,CASA NACIONAL DE LA CULTURA - SEDE DE LA SECRETARIA DE CULTURA DE LA NACION,,,,,ALVEAR,1690,RECOLETA,COMUNA 2,"ALVEAR 1690, CABA",-58.38703,-34.58941,,,,,,,,,,,,,,0,
2302,MONUMENTOS Y LUGARES HISTORICOS,,CASA NATAL DEL GRAL. ANTONIO GONZALEZ BALCARCE,,,,,BALCARCE,140,MONSERRAT,COMUNA 1,"BALCARCE 140, CABA",-58.37077,-34.60945,,,,,,,,,,,,,,0,
2303,MONUMENTOS Y LUGARES HISTORICOS,,CASA PROYECTADA POR EL ARQUITECTO ALEJANDRO VIRASORO,,,,,AGUERO,2040,RECOLETA,COMUNA 2,"AGÜERO 2040, CABA",-58.40266,-34.58832,,,,,,,,,,,,,,0,
2304,MONUMENTOS Y LUGARES HISTORICOS,,CASA QUE HABITO ADOLFO ALSINA,,,,,ALSINA. ADOLFO,1177,MONSERRAT,COMUNA 1,"ALSINA. ADOLFO 1177, CABA",-58.3829,-34.61088,,,,,,,,,,,,,,0,
2305,MONUMENTOS Y LUGARES HISTORICOS,,CASA QUE HABITO DOMINGO F. SARMIENTO,,,,,SARMIENTO,1253,SAN NICOLAS,COMUNA 1,"SARMIENTO 1253, CABA",-58.38438,-34.60513,,,,,,,,,,,,,,0,
2306,MONUMENTOS Y LUGARES HISTORICOS,,CASA QUE HABITO EL DR. ALFREDO PALACIOS,,,,,GODOY CRUZ,2500,PALERMO,COMUNA 14,"GODOY CRUZ 2500, CABA",-58.42655,-34.58,,,,,,,,,,,,,,0,
2307,MONUMENTOS Y LUGARES HISTORICOS,,CASA QUE HABITO RICARDO ROJAS,,,,,CHARCAS,2841,RECOLETA,COMUNA 2,"CHARCAS 2841, CABA",-58.40653,-34.59395,,,,,,,,,,,,,,0,
2308,MONUMENTOS Y LUGARES HISTORICOS,,CASA Y CAPILLA DE EJERCICIOS ESPIRITUALES Y COLEGIO NUESTRA SENORA DE BELEN - ACTUAL ACADEMIA SUPERI,,,,,HUMBERTO 1°,378,SAN TELMO,COMUNA 1,"HUMBERTO 1° 378, CABA",-58.37061693,-34.62071995,,,,,,,,,,,,,,0,
2309,MONUMENTOS Y LUGARES HISTORICOS,,CATEDRAL ANGLICANA DE SAN JUAN BAUTISTA,,,,,25 DE MAYO,277,SAN NICOLAS,COMUNA 1,"25 DE MAYO 277, CABA",-58.37102,-34.60457,,,,,,,,,,,,,,0,
2310,MONUMENTOS Y LUGARES HISTORICOS,,CATEDRAL DE LA CIUDAD DE BUENOS AIRES,,,,,SAN MARTIN,27,SAN NICOLAS,COMUNA 1,"SAN MARTIN 27, CABA",-58.37333,-34.60778,,,,,,,,,,,,,,0,
2311,MONUMENTOS Y LUGARES HISTORICOS,,CECILIA GRIERSON,,,,,ELCANO,4701,PATERNAL,COMUNA 15,"ELCANO 4701, CABA",-58.46616,-34.59103,,,,,,,,,,,,,,0,
2312,MONUMENTOS Y LUGARES HISTORICOS,,CEMENTERIO DE LA CHACARITA - SECTOR IDENTIFICADO COMO SECCION 2. MANZANA 9. TABLON 13.,,,,,GARMENDIA AV.,4801,CHACARITA,COMUNA 15,"GARMENDIA AV. 4801, CABA",-58.46472,-34.59417,,,,,,,,,,,,,,0,
2313,MONUMENTOS Y LUGARES HISTORICOS,,CENTRO CLANDESTINO DE DETENCION Y TORTURA EL ATLETICO,,,,,IRIGOYEN. BERNARDO DE,868,SAN TELMO,COMUNA 1,"IRIGOYEN. BERNARDO DE 868, CABA",-58.36872,-34.61787,,,,,,,,,,,,,,0,
2314,MONUMENTOS Y LUGARES HISTORICOS,,CENTRO CULTURAL RECOLETA,,,,,JUNIN,1930,RECOLETA,COMUNA 2,"JUNIN 1930, CABA",-58.3915776,-34.5864938,,,,,,,,,,,,,,0,
2315,MONUMENTOS Y LUGARES HISTORICOS,,CENTRO CULTURAL SAN MARTIN,,,,AULA SUBSUELO,SARMIENTO,1551,SAN NICOLAS,COMUNA 1,"SARMIENTO 1551, CABA",-58.388585,-34.6053678,,,,,,,,,,,,,,0,
2316,MONUMENTOS Y LUGARES HISTORICOS,,CENTRO NACIONAL DE LA MUSICA - EX BIBLIOTECA NACIONAL,,,,,MEXICO,564,MONSERRAT,COMUNA 1,"MEXICO 564, CABA",-58.37402,-34.61494,,,,,,,,,,,,,,0,
2317,MONUMENTOS Y LUGARES HISTORICOS,,CINE TEATRO GRAN REX,,,,,CORRIENTES AV.,833,SAN NICOLAS,COMUNA 1,"CORRIENTES AV. 833, CABA",-58.37859,-34.60351,,,,,,,,,,,,,,0,
2318,MONUMENTOS Y LUGARES HISTORICOS,,CINE TEATRO OPERA,,,,,CORRIENTES AV.,858,SAN NICOLAS,COMUNA 1,"CORRIENTES AV. 858, CABA",-58.37889,-34.60361,,,,,,,,,,,,,,0,
2319,MONUMENTOS Y LUGARES HISTORICOS,,CINE TEATRO REGIO,,,,,CORDOBA AV.,6066,CHACARITA,COMUNA 15,"CORDOBA AV. 6066, CABA",-58.44583,-34.58417,,,,,,,,,,,,,,0,
2320,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. DE MARINA JOSE MURATURE,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2321,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. FEDERICO BRANDSEN,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2322,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. HILARIO ASCASUBI,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2323,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. IGNACIO ALVAREZ THOMAS,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2324,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. ISIDORO SUAREZ,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2325,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. JORDAN CZESLAW WYSOCKI,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2326,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. JOSE DE OLAVARRIA,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2327,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. MANUEL DORREGO,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2328,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. PEDRO JOSE DIAZ,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2329,MONUMENTOS Y LUGARES HISTORICOS,,CNEL. RAMON L. FALCON,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2330,MONUMENTOS Y LUGARES HISTORICOS,,CNEL.DE MARINA FRANCISCO SEGUI,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2331,MONUMENTOS Y LUGARES HISTORICOS,,COLEGIO NACIONAL BUENOS AIRES,,,,,BOLIVAR,243,MONSERRAT,COMUNA 1,"BOLIVAR 243, CABA",-58.37341,-34.61077,,,,,,,,,,,,,,0,
2332,MONUMENTOS Y LUGARES HISTORICOS,,COLEGIO SAN JOSE,,,,,AZCUENAGA,160,BALVANERA,COMUNA 3,"AZCUENAGA 160, CABA",-58.40063,-34.6079,,,,,,,,,,,,,,0,
2333,MONUMENTOS Y LUGARES HISTORICOS,,CONFEDERACION GENERAL DEL TRABAJO (C.G.T.),,,,,IRIGOYEN. BERNARDO DE,811,SAN TELMO,COMUNA 1,"IRIGOYEN. BERNARDO DE 811, CABA",-58.36738,-34.61719,,,,,,,,,,,,,,0,
2334,MONUMENTOS Y LUGARES HISTORICOS,,CONFEDERACION GENERAL ECONOMICA,,,,,RIVADAVIA AV.,1108,MONSERRAT,COMUNA 1,"RIVADAVIA AV. 1108, CABA",-58.38222,-34.60861,,,,,,,,,,,,,,0,
2335,MONUMENTOS Y LUGARES HISTORICOS,,CONFITERIA EL MOLINO,,,,,CALLAO AV.,1,BALVANERA,COMUNA 3,"CALLAO AV. 1, CABA",-58.39199,-34.60921,,,,,,,,,,,,,,0,
2336,MONUMENTOS Y LUGARES HISTORICOS,,CONGRESO DE LA NACION,,,,,ALSINA. ADOLFO,1835,BALVANERA,COMUNA 3,"ALSINA. ADOLFO 1835, CABA",-58.3924548,-34.6115064,,,,,,,,,,,,,,0,
2337,MONUMENTOS Y LUGARES HISTORICOS,,CONVENTO DE LAS CATALINAS - CONVENTO DE SANTA CATALINA DE SIENA,,,,,ANCHORENA. TOMAS MANUEL DE. DR.,901,RECOLETA,COMUNA 2,"ANCHORENA. TOMAS MANUEL DE. DR. 901, CABA",-58.408,-34.59804,,,,,,,,,,,,,,0,
2338,MONUMENTOS Y LUGARES HISTORICOS,,CONVENTO DE LOS MERCEDARIOS,,,,,RECONQUISTA,273,SAN NICOLAS,COMUNA 1,"RECONQUISTA 273, CABA",-58.37237,-34.60471,,,,,,,,,,,,,,0,
2339,MONUMENTOS Y LUGARES HISTORICOS,,CORBETA URUGUAY,,,,,JUANA MANUELA GORRITI,400,PUERTO MADERO,COMUNA 1,"GORRITI JUANA MANUELA 400, CABA",-58.36675,-34.60136,,,,,,,,,,,,,,0,
2340,MONUMENTOS Y LUGARES HISTORICOS,,CORONEL JUAN BAUTISTA THORNE,,,,,ELCANO,4701,PATERNAL,COMUNA 15,"ELCANO 4701, CABA",-58.46616,-34.59103,,,,,,,,,,,,,,0,
2341,MONUMENTOS Y LUGARES HISTORICOS,,CREMATORIO MUNICIPAL,,,,,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,"LACROZE. FEDERICO AV. 4099, CABA",-58.45585,-34.58723,,,,,,,,,,,,,,0,
2342,MONUMENTOS Y LUGARES HISTORICOS,,DEAN SATURNINO SEGUROLA,,,,,SAN MARTIN,27,SAN NICOLAS,COMUNA 1,"SAN MARTIN 27, CABA",-58.3732,-34.60763,,,,,,,,,,,,,,0,
2343,MONUMENTOS Y LUGARES HISTORICOS,,DELFINA VEDIA DE MITRE,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2344,MONUMENTOS Y LUGARES HISTORICOS,,DIARIO LA PRENSA,,,,,DE MAYO AV.,563,MONSERRAT,COMUNA 1,"DE MAYO AV. 563, CABA",-58.37446,-34.60855,,,,,,,,,,,,,,0,
2345,MONUMENTOS Y LUGARES HISTORICOS,,DOMINGO FAUSTINO SARMIENTO,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2346,MONUMENTOS Y LUGARES HISTORICOS,,DOMINGO MATHEU,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2347,MONUMENTOS Y LUGARES HISTORICOS,,EDIFICIO KAVANAGH,,,,,RECONQUISTA,1083,RETIRO,COMUNA 1,"RECONQUISTA 1083, CABA",-58.3744,-34.59538,,,,,,,,,,,,,,0,
2348,MONUMENTOS Y LUGARES HISTORICOS,,EDIFICIO TORNQUIST,,,,,MITRE. BARTOLOME,521,SAN NICOLAS,COMUNA 1,"BARTOLOME MITRE 521, CABA",-58.374,-34.60678,,,,,,,,,,,,,,0,
2349,MONUMENTOS Y LUGARES HISTORICOS,,EDIFICIOS DE LA CALLE AUSTRIA 2577 / 2593,,,,,AUSTRIA,2581,RECOLETA,COMUNA 2,"AUSTRIA 2581, CABA",-58.39927,-34.58458,,,,,,,,,,,,,,0,
2350,MONUMENTOS Y LUGARES HISTORICOS,,EL SECTOR DE LA FACHADA PRINCIPAL SOBRE AV. CORDOBA DESDE VESTIBULO DE ACCESO HASTA CALLE AYACUCHO Y,,,,,CORDOBA AV.,1957,RECOLETA,COMUNA 2,"CORDOBA AV. 1957, CABA",-58.39514,-34.59962,,,,,,,,,,,,,,0,
2351,MONUMENTOS Y LUGARES HISTORICOS,,EMMA NICOLAY DE CAPRILE,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2352,MONUMENTOS Y LUGARES HISTORICOS,,ESCUELA CATEDRAL AL NORTE - ACTUAL J. M. ESTRADA,,,,,RECONQUISTA,463,SAN NICOLAS,COMUNA 1,"RECONQUISTA 463, CABA",-58.37249,-34.60247,,,,,,,,,,,,,,0,
2353,MONUMENTOS Y LUGARES HISTORICOS,,ESCUELA DE COMERCIO Nº 2 DR. ANTONIO BERMEJO (FACHADA Y PRIMER PATIO),,,,,CALLAO AV.,622,BALVANERA,COMUNA 3,"CALLAO AV. 622, CABA",-58.39267,-34.60167,,,,,,,,,,,,,,0,
2354,MONUMENTOS Y LUGARES HISTORICOS,,ESCUELA NACIONAL NORMAL DE PROFESORES PTE. R. SAENZ PENA,,,,,CORDOBA AV.,1957,RECOLETA,COMUNA 2,"CORDOBA AV. 1957, CABA",-58.39514,-34.59966,,,,,,,,,,,,,,0,
2355,MONUMENTOS Y LUGARES HISTORICOS,,ESCUELA NORMAL MARIANO ACOSTA,,,,,URQUIZA. GRAL.,281,BALVANERA,COMUNA 3,"URQUIZA. GRAL. 281, CABA",-58.40995,-34.61371,,,,,,,,,,,,,,0,
2356,MONUMENTOS Y LUGARES HISTORICOS,,ESCUELA NORMAL SUPERIOR Nº 01 EN LENGUAS VIVAS PRESIDENTE ROQUE SAENZ PEÑA,,,,FACHADA,CORDOBA AV.,1957,RECOLETA,COMUNA 2,"CORDOBA AV. 1957, CABA",-58.39514,-34.59967,,,,,,,,,,,,,,0,
2357,MONUMENTOS Y LUGARES HISTORICOS,,ESCUELA OTTO KRAUSE,,,,,PASEO COLON AV.,646,MONSERRAT,COMUNA 1,"PASEO COLON AV. 646, CABA",-58.36886,-34.61526,,,,,,,,,,,,,,0,
2358,MONUMENTOS Y LUGARES HISTORICOS,,ESCUELA PEDRO DE MENDOZA Nº 19 - MUSEO DE BELLAS ARTES DE LA BOCA,,,,,DON PEDRO DE MENDOZA AV.,1891,BOCA,COMUNA 4,"DON PEDRO DE MENDOZA AV. 1891, CABA",-58.36151,-34.63935,,,,,,,,,,,,,,0,
2359,MONUMENTOS Y LUGARES HISTORICOS,,ESCUELA TECNICA Nº 31 MAESTRO QUINQUELA,,,,,DON PEDRO DE MENDOZA AV.,1779,BOCA,COMUNA 4,"DON PEDRO DE MENDOZA AV. 1779, CABA",-58.35988,-34.63897,,,,,,,,,,,,,,0,
2360,MONUMENTOS Y LUGARES HISTORICOS,,ESQUINA HOMERO MANZI,,,,,SAN JUAN AV.,3601,BOEDO,COMUNA 5,"SAN JUAN AV. 3601, CABA",-58.4163368,-34.6253822,,,,,,,,,,,,,,0,
2361,MONUMENTOS Y LUGARES HISTORICOS,,ESTACION TERMINAL RETIRO,,,,,DEL LIBERTADOR AV.,99,RETIRO,COMUNA 1,"DEL LIBERTADOR AV. 99, CABA",-58.37487,-34.59195,,,,,,,,,,,,,,0,
2362,MONUMENTOS Y LUGARES HISTORICOS,,ESTANISLAO DEL CAMPO,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2363,MONUMENTOS Y LUGARES HISTORICOS,,EUSTAQUIO DIAZ VELEZ,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2364,MONUMENTOS Y LUGARES HISTORICOS,,EX ADMINISTRACION DEL FFCC B.MITRE Y EL MUSEO NACIONAL FERROVIARIO,,,,,DEL LIBERTADOR AV.,402,RETIRO,COMUNA 1,"DEL LIBERTADOR AV. 402, CABA",-58.37948,-34.59004,,,,,,,,,,,,,,0,
2365,MONUMENTOS Y LUGARES HISTORICOS,,EX CENTRO CLANDESTINO DE DETENCION DE LA ESCUELA DE MECANICA DE LA ARMADA,,,,,DEL LIBERTADOR AV.,8156,NUÑEZ,COMUNA 13,"DEL LIBERTADOR AV. 8156, CABA",-58.46405,-34.54026,,,,,,,,,,,,,,0,
2366,MONUMENTOS Y LUGARES HISTORICOS,,EX HOTEL DE INMIGRANTES,,,,,ANTARTIDA ARGENTINA AV.,1355,RETIRO,COMUNA 1,"ANTARTIDA ARGENTINA AV. 1355, CABA",-58.37015,-34.59242,,,,,,,,,,,,,,0,
2367,MONUMENTOS Y LUGARES HISTORICOS,,FACULTAD DE INGENIERIA - UBA,,,FACULTAD DE INGENIERIA,,ESTADOS UNIDOS,850,SAN TELMO,COMUNA 1,"ESTADOS UNIDOS 850, CABA",-58.36795,-34.61767,,,,,,,,,,,,,,0,
2368,MONUMENTOS Y LUGARES HISTORICOS,,FEDERACION DE ASOCIACIONES CATOLICAS DE EMPLEADAS - CASA DE LA EMPLEADA,,,,,SARMIENTO,1273,SAN NICOLAS,COMUNA 1,"SARMIENTO 1273, CABA",-58.38464,-34.60518,,,,,,,,,,,,,,0,
2369,MONUMENTOS Y LUGARES HISTORICOS,,FELICIANO ANTONIO CHICLANA,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2370,MONUMENTOS Y LUGARES HISTORICOS,,FIRST NATIONAL BANK OF BOSTON - CASA CENTRAL,,,,,FLORIDA,99,SAN NICOLAS,COMUNA 1,"FLORIDA 99, CABA",-58.37504,-34.60692,,,,,,,,,,,,,,0,
2371,MONUMENTOS Y LUGARES HISTORICOS,,FRAGATA ESCUELA PRESIDENTE SARMIENTO,,,,,MOREAU DE JUSTO. ALICIA AV.,900,NA,COMUNA NA,"MOREAU DE JUSTO. ALICIA AV. 900, CABA",-58.36556,-34.60889,,,,,,,,,,,,,,0,
2372,MONUMENTOS Y LUGARES HISTORICOS,,FRANCIS AMSTRONG DE BESSLER,,,,,ELCANO,4701,PATERNAL,COMUNA 15,"ELCANO 4701, CABA",-58.46616,-34.59103,,,,,,,,,,,,,,0,
2373,MONUMENTOS Y LUGARES HISTORICOS,,FRANCISCO DE ESCALADA,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2374,MONUMENTOS Y LUGARES HISTORICOS,,FRANCISCO JAVIER MUNIZ,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2375,MONUMENTOS Y LUGARES HISTORICOS,,FUENTE DE LAS NEREIDAS,,,,,ACHAVAL RODRIGUEZ. T.. DR. AV.,,PUERTO MADERO,COMUNA 1,"ACHAVAL RODRIGUEZ, T., DR. AV. y PADRE M. L. MIGONE, CABA",-58.35692,-34.61694,,,,,,,,,,,,,,0,
2376,MONUMENTOS Y LUGARES HISTORICOS,,GALERIAS PACIFICO,,,,,RECONQUISTA,800,SAN NICOLAS,COMUNA 1,"RECONQUISTA 800, CABA",-58.37419,-34.59878,,,,,,,,,,,,,,0,
2377,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. ANTONIO GONZALEZ BALCARCE,,,,,DEFENSA,422,MONSERRAT,COMUNA 1,"DEFENSA 422, CABA",-58.37167,-34.61278,,,,,,,,,,,,,,0,
2378,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. BARTOLOME MITRE,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2379,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. CARLOS DE ALVEAR,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2380,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. EMILIO MITRE,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2381,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. FELIX BENAVIDES,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2382,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. JOSE DE SAN MARTIN,,,,,SAN MARTIN,27,SAN NICOLAS,COMUNA 1,"SAN MARTIN 27, CABA",-58.3732,-34.60763,,,,,,,,,,,,,,0,
2383,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. JOSE M. PIRAN,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2384,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. JOSE MATIAS ZAPIOLA,,,,,DEFENSA,422,MONSERRAT,COMUNA 1,"DEFENSA 422, CABA",-58.37167,-34.61278,,,,,,,,,,,,,,0,
2385,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. JUAN A.GELLY Y OBES,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2386,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. JUAN FLORENCIO TERRADA,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2387,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. JUAN JOSE VIAMONTE,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
2388,MONUMENTOS Y LUGARES HISTORICOS,,GRAL. JUAN LAVALLE,,,,,JUNIN,1850,RECOLETA,COMUNA 2,"JUNIN 1850, CABA",-58.39343,-34.58752,,,,,,,,,,,,,,0,
